timestamp,room_temp,room_hum,room_batt_mv,cpu_usage,cpu_temp,gpu_temp,gpu_usage,ram_usage,disk_usage
2026-05-20 11:05:04,26.50,37,2859,1.20,,31.00,0.00,21.40,11.30
2026-05-20 11:05:35,26.56,37,2859,0.60,,30.00,0.00,21.40,11.30
2026-05-20 11:06:05,26.55,37,2859,0.60,,30.00,0.00,21.40,11.30
2026-05-20 11:06:36,26.53,37,2859,1.00,,30.00,0.00,21.40,11.30
2026-05-20 11:07:06,26.58,36,2859,0.70,,30.00,0.00,21.50,11.30
2026-05-20 11:07:37,26.60,36,2859,0.50,,30.00,1.00,21.40,11.30
2026-05-20 11:08:07,26.60,36,2859,1.00,,30.00,0.00,21.40,11.30
2026-05-20 11:08:38,26.62,36,2859,1.00,,30.00,0.00,21.40,11.30
2026-05-20 11:09:08,26.63,36,2859,0.30,,30.00,0.00,21.40,11.30
2026-05-20 11:09:39,26.61,36,2887,1.00,,30.00,0.00,21.40,11.30
2026-05-20 11:10:09,26.64,36,2887,0.80,,30.00,0.00,21.40,11.30
2026-05-20 11:10:40,26.64,36,2887,0.50,,30.00,0.00,21.40,11.30
2026-05-20 11:11:10,26.64,36,2887,1.90,,30.00,0.00,21.40,11.30
2026-05-20 11:11:41,26.64,36,2887,2.50,,30.00,0.00,21.40,11.30
2026-05-20 11:12:11,26.66,36,2887,0.50,,30.00,0.00,21.40,11.30
2026-05-20 11:12:42,26.65,36,2887,0.60,,30.00,0.00,21.40,11.30
2026-05-20 11:13:12,26.66,36,2887,1.60,,30.00,0.00,21.40,11.30
2026-05-20 11:13:43,26.68,36,2887,0.40,,30.00,1.00,21.40,11.30
2026-05-20 11:14:13,26.71,36,2887,0.70,,30.00,0.00,21.40,11.30
2026-05-20 11:14:44,26.72,36,2859,1.00,,30.00,0.00,21.40,11.30
2026-05-20 11:15:14,26.74,36,2859,0.40,,30.00,0.00,21.40,11.30
2026-05-20 11:15:45,26.73,36,2859,0.60,,30.00,0.00,21.40,11.30
2026-05-20 11:16:15,26.76,36,2859,1.40,,30.00,0.00,21.40,11.30
2026-05-20 11:16:46,26.78,36,2859,0.40,,31.00,0.00,21.30,11.30
2026-05-20 11:17:16,26.81,36,2859,0.90,,31.00,0.00,21.40,11.30
2026-05-20 11:17:47,26.84,36,2859,0.60,,31.00,1.00,21.40,11.30
2026-05-20 11:18:17,26.86,36,2859,0.70,,31.00,0.00,21.40,11.30
2026-05-20 11:18:48,26.89,36,2859,0.70,,31.00,0.00,21.30,11.30
